"modelable_entity_id","cause_id","rei_id","n_code","sequela_id","healthstate_id"
17037,714,291,"N47",-53,-53
17038,714,292,"N48",-54,-54
17039,714,293,"N5",-5,-5
17040,714,294,"N6",-6,-6
17041,714,295,"N7",-7,-7
17042,714,296,"N8",-8,-8
17043,714,297,"N9",-9,-9
17044,715,250,"N1",-1,-1
17045,715,251,"N10",-10,-10
17046,715,252,"N11",-11,-11
17047,715,253,"N12",-12,-12
17048,715,254,"N13",-13,-13
17049,715,255,"N14",-14,-14
17050,715,256,"N15",-15,-15
17051,715,257,"N16",-16,-16
17052,715,258,"N17",-17,-17
17053,715,259,"N18",-18,-18
17054,715,260,"N19",-19,-19
17055,715,261,"N2",-2,-2
17056,715,262,"N20",-20,-20
17057,715,263,"N21",-21,-21
17058,715,264,"N22",-22,-22
17059,715,265,"N23",-23,-23
17060,715,266,"N24",-24,-24
17061,715,267,"N25",-25,-25
17062,715,268,"N26",-26,-26
17063,715,269,"N27",-27,-27
17064,715,270,"N28",-28,-28
17065,715,272,"N3",-3,-3
17066,715,273,"N30",-30,-30
17067,715,274,"N31",-31,-31
17068,715,275,"N32",-32,-32
17069,715,276,"N33",-55,-55
17074,715,277,"N34",-56,-56
17079,715,278,"N35",-41,-41
17080,715,279,"N36",-42,-42
17081,715,280,"N37",-43,-43
17082,715,281,"N38",-44,-44
17083,715,282,"N39",-45,-45
17084,715,283,"N4",-4,-4
17085,715,284,"N40",-46,-46
17086,715,285,"N41",-47,-47
17087,715,286,"N42",-48,-48
17088,715,287,"N43",-49,-49
17089,715,288,"N44",-50,-50
17090,715,289,"N45",-51,-51
17091,715,290,"N46",-52,-52
17092,715,291,"N47",-53,-53
17093,715,292,"N48",-54,-54
17094,715,293,"N5",-5,-5
17095,715,294,"N6",-6,-6
17096,715,295,"N7",-7,-7
17097,715,296,"N8",-8,-8
17098,715,297,"N9",-9,-9
17099,725,250,"N1",-1,-1
17100,725,251,"N10",-10,-10
17101,725,252,"N11",-11,-11
17102,725,253,"N12",-12,-12
17103,725,254,"N13",-13,-13
17104,725,255,"N14",-14,-14
17105,725,256,"N15",-15,-15
17106,725,257,"N16",-16,-16
17107,725,258,"N17",-17,-17
17108,725,259,"N18",-18,-18
17109,725,260,"N19",-19,-19
17110,725,261,"N2",-2,-2
17111,725,262,"N20",-20,-20
17112,725,263,"N21",-21,-21
17113,725,264,"N22",-22,-22
17114,725,265,"N23",-23,-23
17115,725,266,"N24",-24,-24
17116,725,267,"N25",-25,-25
17117,725,268,"N26",-26,-26
17118,725,269,"N27",-27,-27
17119,725,270,"N28",-28,-28
17120,725,272,"N3",-3,-3
17121,725,273,"N30",-30,-30
17122,725,274,"N31",-31,-31
17123,725,275,"N32",-32,-32
17124,725,276,"N33",-55,-55
17129,725,277,"N34",-56,-56
17134,725,278,"N35",-41,-41
17135,725,279,"N36",-42,-42
17136,725,280,"N37",-43,-43
17137,725,281,"N38",-44,-44
17138,725,282,"N39",-45,-45
17139,725,283,"N4",-4,-4
17140,725,284,"N40",-46,-46
