study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,study_id2,e_mean,se,mean_logit,sd_logit,in_var
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 18-49,"",Moderna,Delta,severe,hosp,,18,49,0.975,0.961,0.985,0,0,,13,16,severe,14.5,14.5,Non_Omicron,518&USA NY delta hosp 18-49&Delta&hosp&18&49,0.875,0.00612244897959184,1.94591014905531,0.0559766763848397,1.27801930084539
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 50-64,"",Moderna,Delta,severe,hosp,,50,64,0.973,0.961,0.983,0,0,,0,4,severe,2,2,Non_Omicron,518&USA NY delta hosp 50-64&Delta&hosp&50&64,0.873,0.00561224489795919,1.92774846938101,0.0506195930221536,1.33484762494383
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 50-64,"",Moderna,Delta,severe,hosp,,50,64,0.97,0.945,0.986,0,0,,5,8,severe,6.5,6.5,Non_Omicron,518&USA NY delta hosp 50-64&Delta&hosp&50&64,0.87,0.0104591836734694,1.90095876119305,0.0924773092260778,0.977802414077409
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 50-64,"",Moderna,Delta,severe,hosp,,50,64,0.967,0.944,0.982,0,0,,9,12,severe,10.5,10.5,Non_Omicron,518&USA NY delta hosp 50-64&Delta&hosp&50&64,0.867,0.00969387755102042,1.87468984855879,0.0840672403415148,1.01566675015402
518,Rosenberg E,0,102,102,United States,USA NY delta hosp 50-64,"",Moderna,Delta,severe,hosp,,50,64,0.969,0.959,0.977,0,0,,13,16,severe,14.5,14.5,Non_Omicron,518&USA NY delta hosp 50-64&Delta&hosp&50&64,0.869,0.00459183673469388,1.89214580206424,0.0403362356898241,1.47572957474524
518,Rosenberg E,0,102,102,United States,USA NY delta hosp =>65,"",Moderna,Delta,severe,hosp,,65,100,0.972,0.967,0.977,0,0,,0,4,severe,2,2,Non_Omicron,518&USA NY delta hosp =>65&Delta&hosp&65&100,0.872,0.00255102040816327,1.91875915998936,0.0228553290582288,1.97989898732233
518,Rosenberg E,0,102,102,United States,USA NY delta hosp =>65,"",Moderna,Delta,severe,hosp,,65,100,0.964,0.953,0.974,0,0,,5,8,severe,6.5,6.5,Non_Omicron,518&USA NY delta hosp =>65&Delta&hosp&65&100,0.864,0.00535714285714286,1.848917883068,0.0455911531279179,1.36626010212795
518,Rosenberg E,0,102,102,United States,USA NY delta hosp =>65,"",Moderna,Delta,severe,hosp,,65,100,0.952,0.939,0.963,0,0,,9,12,severe,10.5,10.5,Non_Omicron,518&USA NY delta hosp =>65&Delta&hosp&65&100,0.852,0.00612244897959184,1.7503742530652,0.0485538714914973,1.27801930084539
518,Rosenberg E,0,102,102,United States,USA NY delta hosp =>65,"",Moderna,Delta,severe,hosp,,65,100,0.941,0.933,0.948,0,0,,13,16,severe,14.5,14.5,Non_Omicron,518&USA NY delta hosp =>65&Delta&hosp&65&100,0.841,0.00382653061224487,1.66568745775272,0.0286162072124745,1.61658075373096
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",Moderna,Delta,severe,hosp,,12,49,0.99,0.95,0.99,0,0,,0,4,severe,2,2,Non_Omicron,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.89,0.0102040816326531,2.09074109693377,0.104229638740072,0.989949493661166
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",Moderna,Delta,severe,hosp,,12,49,0.99,0.95,0.99,0,0,,5,9,severe,7,7,Non_Omicron,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.89,0.0102040816326531,2.09074109693377,0.104229638740072,0.989949493661166
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",Moderna,Delta,severe,hosp,,12,49,0.99,0.91,0.99,0,0,,10,14,severe,12,12,Non_Omicron,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.89,0.0204081632653061,2.09074109693377,0.208459277480144,0.7
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",Moderna,Delta,severe,hosp,,12,49,0.94,0.57,0.99,0,0,,15,19,severe,17,17,Non_Omicron,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.84,0.107142857142857,1.65822807660353,0.79719387755102,0.305505046330389
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",Moderna,Delta,severe,hosp,,12,49,0.86,0.01,0.98,0,0,,20,24,severe,22,22,Non_Omicron,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.76,0.247448979591837,1.15267950993839,1.35662817758682,0.201028284412967
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",Moderna,Delta,severe,hosp,,12,49,0.79,-0.5,0.97,0,0,,25,29,severe,27,27,Non_Omicron,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.69,0.375,0.800119300112113,1.7531556802244,0.163299316185545
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",Moderna,Delta,severe,hosp,,50,69,0.97,0.94,0.99,0,0,,0,4,severe,2,2,Non_Omicron,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.87,0.0127551020408163,1.90095876119305,0.112777206373266,0.885437744847146
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",Moderna,Delta,severe,hosp,,50,69,0.97,0.93,0.99,0,0,,5,9,severe,7,7,Non_Omicron,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.87,0.0153061224489796,1.90095876119305,0.135332647647918,0.808290376865477
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",Moderna,Delta,severe,hosp,,50,69,0.98,0.95,0.99,0,0,,10,14,severe,12,12,Non_Omicron,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.88,0.0102040816326531,1.99243016469021,0.0966295609152753,0.989949493661166
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",Moderna,Delta,severe,hosp,,50,69,0.88,0.72,0.95,0,0,,15,19,severe,17,17,Non_Omicron,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.78,0.0586734693877551,1.26566637333128,0.341919984777128,0.412837477233712
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",Moderna,Delta,severe,hosp,,50,69,0.95,0.65,0.99,0,0,,20,24,severe,22,22,Non_Omicron,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.85,0.086734693877551,1.73460105538811,0.680272108843537,0.339549875050866
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",Moderna,Delta,severe,hosp,,50,69,0.85,0.39,0.96,0,0,,25,29,severe,27,27,Non_Omicron,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.75,0.145408163265306,1.09861228866811,0.775510204081633,0.262244027242874
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 70+ hosp,"",Moderna,Delta,severe,hosp,,70,99,0.85,0.54,0.95,0,0,,10,14,severe,12,12,Non_Omicron,519&Netherlands delta 70+ hosp&Delta&hosp&70&99,0.75,0.104591836734694,1.09861228866811,0.557823129251701,0.30920827300957
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 70+ hosp,"",Moderna,Delta,severe,hosp,,70,99,0.94,0.77,0.99,0,0,,15,19,severe,17,17,Non_Omicron,519&Netherlands delta 70+ hosp&Delta&hosp&70&99,0.84,0.0561224489795918,1.65822807660353,0.417577745383868,0.422115882408869
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 70+ hosp,"",Moderna,Delta,severe,hosp,,70,99,0.88,0.68,0.96,0,0,,20,24,severe,22,22,Non_Omicron,519&Netherlands delta 70+ hosp&Delta&hosp&70&99,0.78,0.0714285714285714,1.26566637333128,0.416250416250416,0.374165738677394
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 70+ hosp,"",Moderna,Delta,severe,hosp,,70,99,0.95,0.82,0.99,0,0,,25,29,severe,27,27,Non_Omicron,519&Netherlands delta 70+ hosp&Delta&hosp&70&99,0.85,0.0433673469387755,1.73460105538811,0.340136054421769,0.480196038399025
521,Chemaitelly H,0,151,151,Qatar,Qatar delta,"",Moderna,Delta,severe,hosp&death,,20,70,0.959,0.936,0.973,0,0,,0,4,severe,2,2,Non_Omicron,521&Qatar delta&Delta&hosp&death&20&70,0.859,0.00943877551020406,1.80700903160609,0.0779297675030677,1.02930047093133
521,Chemaitelly H,0,151,151,Qatar,Qatar delta,"",Moderna,Delta,severe,hosp&death,,20,70,0.963,0.929,0.98,0,0,,5,8,severe,6.5,6.5,Non_Omicron,521&Qatar delta&Delta&hosp&death&20&70,0.863,0.0130102040816326,1.8404337652553,0.110040548431737,0.87671400751921
521,Chemaitelly H,0,151,151,Qatar,Qatar delta,"",Moderna,Delta,severe,hosp&death,,20,70,0.934,0.875,0.965,0,0,,9,12,severe,10.5,10.5,Non_Omicron,521&Qatar delta&Delta&hosp&death&20&70,0.834,0.0229591836734694,1.6142456140022,0.165837332592741,0.659966329107444
521,Chemaitelly H,0,151,151,Qatar,Qatar delta,"",Moderna,Delta,severe,hosp&death,,20,70,0.808,0.569,0.914,0,0,,13,16,severe,14.5,14.5,Non_Omicron,521&Qatar delta&Delta&hosp&death&20&70,0.708,0.0880102040816327,0.885690291425438,0.425713006354155,0.337080388640154
521,Chemaitelly H,0,151,151,Qatar,Qatar delta,"",Moderna,Delta,severe,hosp&death,,20,70,0.818,0.185,0.959,0,0,,21,24,severe,22.5,22.5,Non_Omicron,521&Qatar delta&Delta&hosp&death&20&70,0.718,0.197448979591837,0.934562498110111,0.975172265314589,0.225046650346192
521,Chemaitelly H,0,151,151,Qatar,Qatar delta,"",Moderna,Delta,severe,hosp&death,,20,70,0.441,-0.865,0.833,0,0,,25,32,severe,28.5,28.5,Non_Omicron,521&Qatar delta&Delta&hosp&death&20&70,0.341,0.433163265306122,-0.65884105721899,1.92757739802207,0.151940723672134
1003,Florea A,0,102,102,United States,US delta hosp,"",Moderna,Delta,severe,hosp,,18,75,0.959,0.935,0.974,0,0,,0,8,severe,4,4,Non_Omicron,1003&US delta hosp&Delta&hosp&18&75,0.859,0.00994897959183671,1.80700903160609,0.0821421873680984,1.00256082365521
1003,Florea A,0,102,102,United States,US delta hosp,"",Moderna,Delta,severe,hosp,,18,75,0.974,0.966,0.98,0,0,,9,16,severe,12.5,12.5,Non_Omicron,1003&US delta hosp&Delta&hosp&18&75,0.874,0.00357142857142857,1.93679846870406,0.0324309739151191,1.67332005306815
1003,Florea A,0,102,102,United States,US delta hosp,"",Moderna,Delta,severe,hosp,,18,75,0.948,0.936,0.957,0,0,,17,24,severe,20.5,20.5,Non_Omicron,1003&US delta hosp&Delta&hosp&18&75,0.848,0.00535714285714283,1.71900011494563,0.0415617463469994,1.36626010212795
1003,Florea A,0,102,102,United States,US delta hosp,"",Moderna,Delta,severe,hosp,,18,75,0.945,0.909,0.967,0,0,,25,32,severe,28.5,28.5,Non_Omicron,1003&US delta hosp&Delta&hosp&18&75,0.845,0.0147959183673469,1.69591151043793,0.112967500418759,0.822108307320585
