study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,study_id2,e_mean,se,mean_logit,sd_logit,in_var
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",Johnson & Johnson,Delta,severe,hosp,,50,69,0.98,0.91,0.99,0,0,,15,19,severe,17,17,Non_Omicron,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.88,0.0204081632653061,1.99243016469021,0.19325912183055,0.7
531,Berec L,0,47,47,Czechia,Czech delta hosp,"",Johnson & Johnson,Delta,severe,hosp,,12,65,0.745,0.68,0.78,0,0,,12,20,severe,16,16,Non_Omicron,531&Czech delta hosp&Delta&hosp&12&65,0.645,0.0255102040816327,0.597132527320357,0.111410433809947,0.626099033699941
531,Berec L,0,47,47,Czechia,Czech delta hosp,"",Johnson & Johnson,Delta,severe,hosp,,12,65,0.67,0.62,0.73,0,0,,21,28,severe,24.5,24.5,Non_Omicron,531&Czech delta hosp&Delta&hosp&12&65,0.57,0.0280612244897959,0.281851152140988,0.114488880007327,0.596962005795709
531,Berec L,0,47,47,Czechia,Czech delta death,"",Johnson & Johnson,Delta,severe,death,,12,65,0.75,0.59,0.85,0,0,,12,20,severe,16,16,Non_Omicron,531&Czech delta death&Delta&death&12&65,0.65,0.0663265306122449,0.619039208406224,0.291545189504373,0.38829013735766
531,Berec L,0,47,47,Czechia,Czech delta death,"",Johnson & Johnson,Delta,severe,death,,12,65,0.68,0.53,0.78,0,0,,21,28,severe,24.5,24.5,Non_Omicron,531&Czech delta death&Delta&death&12&65,0.58,0.0637755102040816,0.322773392263051,0.261804229080795,0.395979797464467
558,Voko Z,0,48,48,Hungary,Hungary delta hosp 18-64,"",Johnson & Johnson,Delta,severe,hosp,,18,64,0.432,0.329,0.52,0,0,,2,17,severe,9.5,9.5,Non_Omicron,558&Hungary delta hosp 18-64&Delta&hosp&18&64,0.332,0.0487244897959184,-0.699153204620157,0.219701364421391,0.453029361183402
558,Voko Z,0,48,48,Hungary,Hungary delta hosp 18-64,"",Johnson & Johnson,Delta,severe,hosp,,18,64,0.582,0.499,0.651,0,0,,18,25,severe,21.5,21.5,Non_Omicron,558&Hungary delta hosp 18-64&Delta&hosp&18&64,0.482,0.0387755102040816,-0.0720311282088828,0.155303313911155,0.507833375077008
558,Voko Z,0,48,48,Hungary,Hungary delta hosp 18-64,"",Johnson & Johnson,Delta,severe,hosp,,18,64,0.594,0.501,0.67,0,0,,26,34,severe,30,30,Non_Omicron,558&Hungary delta hosp 18-64&Delta&hosp&18&64,0.494,0.0431122448979592,-0.024001152099543,0.172473815821315,0.481614641307647
558,Voko Z,0,48,48,Hungary,Hungary delta death 18-64,"",Johnson & Johnson,Delta,severe,death,,18,64,0.598,0.352,0.751,0,0,,2,17,severe,9.5,9.5,Non_Omicron,558&Hungary delta death 18-64&Delta&death&18&64,0.498,0.101785714285714,-0.00800004266707627,0.407149371532802,0.313441563987752
558,Voko Z,0,48,48,Hungary,Hungary delta death 18-64,"",Johnson & Johnson,Delta,severe,death,,18,64,0.671,0.432,0.81,0,0,,18,25,severe,21.5,21.5,Non_Omicron,558&Hungary delta death 18-64&Delta&death&18&64,0.571,0.0964285714285714,0.285932290727993,0.393651882268345,0.322030594359765
558,Voko Z,0,48,48,Hungary,Hungary delta death 18-64,"",Johnson & Johnson,Delta,severe,death,,18,64,0.761,0.567,0.868,0,0,,26,34,severe,30,30,Non_Omicron,558&Hungary delta death 18-64&Delta&death&18&64,0.661,0.0767857142857143,0.667753732471236,0.3426725140942,0.360877483558527
558,Voko Z,0,48,48,Hungary,Hungary delta hosp 65-100,"",Johnson & Johnson,Delta,severe,hosp,,65,100,0.264,0.079,0.413,0,0,,2,17,severe,9.5,9.5,Non_Omicron,558&Hungary delta hosp 65-100&Delta&hosp&65&100,0.164,0.0852040816326531,-1.6287621852605,0.621455841059729,0.342586148962678
558,Voko Z,0,48,48,Hungary,Hungary delta hosp 65-100,"",Johnson & Johnson,Delta,severe,hosp,,65,100,0.59,0.462,0.687,0,0,,18,25,severe,21.5,21.5,Non_Omicron,558&Hungary delta hosp 65-100&Delta&hosp&65&100,0.49,0.0573979591836735,-0.0400053346136992,0.229683710218781,0.417399355799961
558,Voko Z,0,48,48,Hungary,Hungary delta hosp 65-100,"",Johnson & Johnson,Delta,severe,hosp,,65,100,0.467,0.299,0.595,0,0,,26,34,severe,30,30,Non_Omicron,558&Hungary delta hosp 65-100&Delta&hosp&65&100,0.367,0.0755102040816327,-0.545108574089606,0.325039296811742,0.363912671437025
558,Voko Z,0,48,48,Hungary,Hungary delta death 65-100,"",Johnson & Johnson,Delta,severe,death,,65,100,0.533,0.282,0.696,0,0,,2,17,severe,9.5,9.5,Non_Omicron,558&Hungary delta death 65-100&Delta&death&65&100,0.433,0.105612244897959,-0.269621575725262,0.430173169014664,0.307710887584701
558,Voko Z,0,48,48,Hungary,Hungary delta death 65-100,"",Johnson & Johnson,Delta,severe,death,,65,100,0.576,0.325,0.733,0,0,,18,25,severe,21.5,21.5,Non_Omicron,558&Hungary delta death 65-100&Delta&death&65&100,0.476,0.104081632653061,-0.0960738300896222,0.41728796207687,0.309965209939033
558,Voko Z,0,48,48,Hungary,Hungary delta death 65-100,"",Johnson & Johnson,Delta,severe,death,,65,100,0.395,0.133,0.578,0,0,,26,34,severe,30,30,Non_Omicron,558&Hungary delta death 65-100&Delta&death&65&100,0.295,0.113520408163265,-0.871222446472449,0.545836798477054,0.296799406401781
564,Grannis SJ,0,102,102,United States,US delta hosp,"",Johnson & Johnson,Delta,severe,Hosp,,18,75,0.6,0.31,0.77,0,1,13,,,severe,,13,Non_Omicron,564&US delta hosp&Delta&Hosp&18&75,0.5,0.11734693877551,0,0.469387755102041,0.291920179679905
