study_id,author,first_dose_only,location_id,location_id2,location_name,location_name2,vac_before_booster,vaccine_developer,variant,symptom_severity,severity,sample_size,age_start,age_end,efficacy_mean,efficacy_lower,efficacy_upper,booster,vemt,mean_time_since_vaccination,start_interval,end_interval,sev_severity,mid_point1,mid_point,group_analysis,vaccine_type,study_id2,e_mean,se,mean_logit,sd_logit,in_var
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",AstraZeneca,Delta,Severe,hosp,,50,69,0.89,0.78,0.95,0,0,,20,24,severe,22,22,Non_Omicron,non_mRNA,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.877777777777778,0.0535399344923154,1.97155257966865,0.499048871562435,0.432176434559122
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",AstraZeneca,Delta,Severe,hosp,,50,69,0.84,-0.16,0.98,0,0,,25,29,severe,27,27,Non_Omicron,non_mRNA,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.822222222222222,0.359032501889645,1.53147637096439,2.45621897407611,0.166891076990196
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 70+ hosp,"",AstraZeneca,Delta,Severe,hosp,,70,99,0.77,0.58,0.87,0,0,,0,4,severe,2,2,Non_Omicron,non_mRNA,519&Netherlands delta 70+ hosp&Delta&hosp&70&99,0.744444444444444,0.0913328294280675,1.06919840346181,0.48007522282112,0.330892210806501
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 70+ hosp,"",AstraZeneca,Delta,Severe,hosp,,70,99,0.8,0.61,0.9,0,0,,5,9,severe,7,7,Non_Omicron,non_mRNA,519&Netherlands delta 70+ hosp&Delta&hosp&70&99,0.777777777777778,0.0913328294280675,1.25276296849537,0.528425655976677,0.330892210806501
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 70+ hosp,"",AstraZeneca,Delta,Severe,hosp,,70,99,0.74,0.58,0.84,0,0,,10,14,severe,12,12,Non_Omicron,non_mRNA,519&Netherlands delta 70+ hosp&Delta&hosp&70&99,0.711111111111111,0.0818846056941295,0.900786545338189,0.39859693877551,0.349461123621894
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 70+ hosp,"",AstraZeneca,Delta,Severe,hosp,,70,99,0.62,0.07,0.84,0,0,,15,19,severe,17,17,Non_Omicron,non_mRNA,519&Netherlands delta 70+ hosp&Delta&hosp&70&99,0.577777777777778,0.242504409171076,0.313657558855042,0.994071717755928,0.203067386934396
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",Johnson & Johnson,Delta,Severe,hosp,,12,49,0.93,0.84,0.97,0,0,,0,4,severe,2,2,Non_Omicron,non_mRNA,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.922222222222222,0.0409423028470648,2.47293045874128,0.570796304752537,0.494212660548224
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",Johnson & Johnson,Delta,Severe,hosp,,12,49,0.96,0.89,0.99,0,0,,5,9,severe,7,7,Non_Omicron,non_mRNA,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.955555555555555,0.0314940791131267,3.06805293513361,0.741575700047453,0.563489130329947
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",Johnson & Johnson,Delta,Severe,hosp,,12,49,0.93,0.82,0.97,0,0,,10,14,severe,12,12,Non_Omicron,non_mRNA,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.922222222222222,0.0472411186696901,2.47293045874128,0.658611120868312,0.46008694830434
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 12-49 hosp,"",Johnson & Johnson,Delta,Severe,hosp,,12,49,0.91,0.64,0.98,0,0,,15,19,severe,17,17,Non_Omicron,non_mRNA,519&Netherlands delta 12-49 hosp&Delta&hosp&12&49,0.9,0.107079868984631,2.19722457733622,1.18977632205145,0.30559488754578
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",Johnson & Johnson,Delta,Severe,hosp,,50,69,0.87,0.79,0.92,0,0,,0,4,severe,2,2,Non_Omicron,non_mRNA,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.855555555555556,0.0409423028470648,1.77885606439215,0.331301351709516,0.494212660548224
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",Johnson & Johnson,Delta,Severe,hosp,,50,69,0.96,0.92,0.98,0,0,,5,9,severe,7,7,Non_Omicron,non_mRNA,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.955555555555555,0.018896447467876,3.06805293513361,0.444945420028471,0.727461339178929
519,RIVM COVID-19 group,0,89,89,Netherlands,Netherlands delta 50-69 hosp,"",Johnson & Johnson,Delta,Severe,hosp,,50,69,0.95,0.89,0.97,0,0,,10,14,severe,12,12,Non_Omicron,non_mRNA,519&Netherlands delta 50-69 hosp&Delta&hosp&50&69,0.944444444444444,0.0251952632905014,2.83321334405621,0.480192076830728,0.63
